siparis_id,musteri_adi,urun,kategori,adet,birim_fiyat,tarih
1,Ayse Kaya,Telefon,Elektronik,1,98.77,2025-01-17
2,Fatma Sahin,Laptop,Elektronik,5,232.71,2025-10-07
3,Mehmet Demir,Tablet,Elektronik,1,479.86,2025-06-24
4,Mustafa Yildiz,Mouse,Aksesuar,1,353.19,2025-06-26
5,Ayse Kaya,Mouse,Aksesuar,4,1623.9,2025-07-05
6,Ayse Kaya,Klavye,Aksesuar,3,,2025-02-21
7,Zeynep Arslan,Tablet,Elektronik,3,592.05,2025-05-17
8,Elif Aydin,Telefon,Elektronik,2,1237.81,2025-10-13
9,Ahmet Yilmaz,Klavye,Aksesuar,2,1385.0,2025-07-25
10,Fatma Sahin,Mouse,Aksesuar,3,179.07,2025-07-22
11,Ali Celik,Sarj Aleti,Aksesuar,5,328.6,2025-08-08
12,Ayse Kaya,Tablet,Elektronik,4,755.89,2025-02-26
13,Mustafa Yildiz,Kulaklik,Aksesuar,1,1273.52,2025-08-28
14,Ayse Kaya,Mouse,Aksesuar,-1,1943.6,2025-10-02
15,,Mouse,Aksesuar,2,1548.77,2025-05-15
16,Fatma Sahin,Kulaklik,Aksesuar,5,1039.98,2025-03-24
17,Ali Celik,Laptop,Elektronik,3,1217.94,2025-05-04
18,Mehmet Demir,Telefon,Elektronik,5,217.02,2025-09-01
19,Fatma Sahin,Kulaklik,Aksesuar,2,566.86,2025-07-24
20,Ayse Kaya,Monitor,Elektronik,2,904.3,2025-10-11
21,Fatma Sahin,Klavye,Aksesuar,1,,2025-01-17
22,Mehmet Demir,Monitor,Elektronik,2,188.17,2025-10-20
23,Ayse Kaya,Sarj Aleti,Aksesuar,1,523.84,2025-07-01
24,Ahmet Yilmaz,Tablet,Elektronik,1,851.65,2025-06-23
25,Mehmet Demir,Telefon,Elektronik,4,534.88,2025-05-08
26,Ahmet Yilmaz,Telefon,Elektronik,1,914.1,2025-05-02
27,Mehmet Demir,Kulaklik,Aksesuar,1,842.51,2025-07-19
28,Elif Aydin,Mouse,Aksesuar,5,1856.71,2025-06-01
29,Ahmet Yilmaz,Klavye,Aksesuar,3,1938.98,2025-09-02
30,Ayse Kaya,Kulaklik,Aksesuar,1,160.92,2025-05-01
31,Ahmet Yilmaz,Tablet,Elektronik,5,283.78,2025-08-03
32,Ali Celik,Monitor,Elektronik,2,1872.68,2025-06-03
33,Ayse Kaya,Sarj Aleti,Aksesuar,4,666.55,2025-04-20
