siparis_id,musteri_adi,urun,kategori,adet,birim_fiyat,tarih,toplam_tutar
1,Ayse Kaya,Telefon,Elektronik,1,98.77,2025-01-17,98.77
2,Fatma Sahin,Laptop,Elektronik,5,232.71,2025-10-07,1163.55
3,Mehmet Demir,Tablet,Elektronik,1,479.86,2025-06-24,479.86
4,Mustafa Yildiz,Mouse,Aksesuar,1,353.19,2025-06-26,353.19
5,Ayse Kaya,Mouse,Aksesuar,4,1623.9,2025-07-05,6495.6
6,Ayse Kaya,Klavye,Aksesuar,3,1057.0211864406779,2025-02-21,3171.06
7,Zeynep Arslan,Tablet,Elektronik,3,592.05,2025-05-17,1776.15
8,Elif Aydin,Telefon,Elektronik,2,1237.81,2025-10-13,2475.62
9,Ahmet Yilmaz,Klavye,Aksesuar,2,1385.0,2025-07-25,2770.0
10,Fatma Sahin,Mouse,Aksesuar,3,179.07,2025-07-22,537.21
11,Ali Celik,Sarj Aleti,Aksesuar,5,328.6,2025-08-08,1643.0
12,Ayse Kaya,Tablet,Elektronik,4,755.89,2025-02-26,3023.56
13,Mustafa Yildiz,Kulaklik,Aksesuar,1,1273.52,2025-08-28,1273.52
16,Fatma Sahin,Kulaklik,Aksesuar,5,1039.98,2025-03-24,5199.9
17,Ali Celik,Laptop,Elektronik,3,1217.94,2025-05-04,3653.82
18,Mehmet Demir,Telefon,Elektronik,5,217.02,2025-09-01,1085.1
19,Fatma Sahin,Kulaklik,Aksesuar,2,566.86,2025-07-24,1133.72
20,Ayse Kaya,Monitor,Elektronik,2,904.3,2025-10-11,1808.6
21,Fatma Sahin,Klavye,Aksesuar,1,1057.0211864406779,2025-01-17,1057.02
22,Mehmet Demir,Monitor,Elektronik,2,188.17,2025-10-20,376.34
23,Ayse Kaya,Sarj Aleti,Aksesuar,1,523.84,2025-07-01,523.84
24,Ahmet Yilmaz,Tablet,Elektronik,1,851.65,2025-06-23,851.65
25,Mehmet Demir,Telefon,Elektronik,4,534.88,2025-05-08,2139.52
26,Ahmet Yilmaz,Telefon,Elektronik,1,914.1,2025-05-02,914.1
27,Mehmet Demir,Kulaklik,Aksesuar,1,842.51,2025-07-19,842.51
28,Elif Aydin,Mouse,Aksesuar,5,1856.71,2025-06-01,9283.55
29,Ahmet Yilmaz,Klavye,Aksesuar,3,1938.98,2025-09-02,5816.94
30,Ayse Kaya,Kulaklik,Aksesuar,1,160.92,2025-05-01,160.92
31,Ahmet Yilmaz,Tablet,Elektronik,5,283.78,2025-08-03,1418.9
32,Ali Celik,Monitor,Elektronik,2,1872.68,2025-06-03,3745.36
33,Ayse Kaya,Sarj Aleti,Aksesuar,4,666.55,2025-04-20,2666.2
34,Zeynep Arslan,Mouse,Aksesuar,2,308.29,2025-08-13,616.58
35,Ali Celik,Mouse,Aksesuar,1,1242.77,2025-02-23,1242.77
36,Ali Celik,Kulaklik,Aksesuar,2,565.71,2025-04-18,1131.42
